review_id,product_category,timestamp,country,rating,review,sentiment,year,month,day_name
52851,Toys,2024-04-24,FR,4,Je suis vraiment content de cet achat. Je recommande vivement.,positive,2024,4,Wednesday
95498,Fashion,2025-05-20,US,3,It's alright. Nothing to complain about really.,neutral,2025,5,Tuesday
26303,Books,2023-08-28,MX,4,¡Increíble! Me encanta mucho.,positive,2023,8,Monday
48643,Food & Grocery,2024-03-18,CA,4,"Amazing product, my whole family loves it. Thank you!",positive,2024,3,Monday
23719,Home & Living,2023-08-05,DE,4,"Bin BEGEISTERT! Qualität top, Lieferung blitzschnell.",positive,2023,8,Saturday
53878,Sports,2024-05-04,US,5,Perfect gift idea. Delivery was speedy and packaging was great.,positive,2024,5,Saturday
66947,Sports,2024-08-30,ES,5,Llegó en perfectas condiciones y es tal y como se describe.,positive,2024,8,Friday
105327,Toys,2025-08-17,AU,3,Decent enough. Not sure I would buy it again though.,neutral,2025,8,Sunday
81445,Home & Living,2025-01-11,US,4,Very pleased with this purchase. Quick delivery too!,positive,2025,1,Saturday
56220,Electronics,2024-05-25,BE,4,Ne ressemble pas du tout à la description. Complète arnaque.,negative,2024,5,Saturday
53450,Home & Living,2024-04-30,ES,3,Producto básico. Cumple su función sin más.,neutral,2024,4,Tuesday
54209,Toys,2024-05-07,ES,3,Pasable. Hay mejores opciones en el mercado.,neutral,2024,5,Tuesday
86165,Fashion,2025-02-23,AT,5,Perfekte Verarbeitung. Sieht noch besser aus als auf dem Foto.,positive,2025,2,Sunday
87738,Food & Grocery,2025-03-09,AU,5,Great value for money. Highly recommend to everyone.,positive,2025,3,Sunday
116452,Beauty,2025-11-28,AU,3,It arrived on time. Quality is acceptable for the price.,neutral,2025,11,Friday
35247,Toys,2023-11-17,FR,4,Excellent! Je suis très satisfait. Cinq étoiles méritées.,positive,2023,11,Friday
544,Fashion,2023-01-05,FR,5,Livraison rapide et produit conforme à la description. Parfait!,positive,2023,1,Thursday
102312,Home & Living,2025-07-21,US,5,Outstanding customer experience from start to finish.,positive,2025,7,Monday
107418,Home & Living,2025-09-05,CA,3,I've used better products but this ONE is functional.,neutral,2025,9,Friday
97482,Electronics,2025-06-07,US,5,Exactly what I was looking for. Great price.,positive,2025,6,Saturday
36299,Home & Living,2023-11-27,CO,4,"Excelente producto, lo recomendaría sin dudarlo. 👍",positive,2023,11,Monday
55376,Fashion,2024-05-18,MX,1,Muy decepcionado. El producto llegó roto y el soporte es inútil.,negative,2024,5,Saturday
2340,Sports,2023-01-21,GB,4,"Superb quality, very sturdy and well-made. Five stars.",positive,2023,1,Saturday
24564,Beauty,2023-08-12,FR,5,"Livraison soignée, produit de qualité. Recommande fortement.",positive,2023,8,Saturday
84383,Sports,2025-02-07,CH,3,Dans la moyenne. Rien ne m'a particulièrement déçu ou impressionné.,neutral,2025,2,Friday
95886,Fashion,2025-05-24,US,4,Absolutely love this product! Best purchase I've made this year.,positive,2025,5,Saturday
18907,Books,2023-06-22,ES,3,Regular tirando a bien. Cumple con lo básico.,neutral,2023,6,Thursday
60905,Books,2024-07-06,GB,1,Good value for money. Highly recommend it!,positive,2024,7,Saturday
79138,Toys,2024-12-20,ES,5,Me ha sorprendido gratamente. Muy buena compra.,positive,2024,12,Friday
55867,Electronics,2024-05-22,GB,4,"Superb quality, very sturdy and well-made. Five stars.",positive,2024,5,Wednesday
37916,Toys,2023-12-13,GB,5,Exactly what I was looking for. Great price.,positive,2023,12,Wednesday
69991,Food & Grocery,2024-09-27,US,5,Very pleased with this purchase. Quick delivery too!,positive,2024,9,Friday
22603,Beauty,2023-07-25,GB,5,Absolutely love this product! Best purchase I've made this year.,positive,2023,7,Tuesday
7434,Beauty,2023-03-09,CA,1,Utterly useless product. Straight in the bin.,negative,2023,3,Thursday
94522,Sports,2025-05-11,DE,1,Schreckliche Qualität. Ich werde hier nie wieder bestellen.,negative,2025,5,Sunday
46184,Fashion,2024-02-26,MX,3,Producto básico. Cumple su función sin más.,neutral,2024,2,Monday
29548,Beauty,2023-09-27,ES,3,Ni bien ni mal. Hace lo que se supone que debe hacer. ⭐,neutral,2023,9,Wednesday
29212,Electronics,2023-09-24,DE,2,Produkt nach zwei Tagen kaputt. Totaler Schrott.,negative,2023,9,Sunday
31099,Food & Grocery,2023-10-11,MX,4,¡Maravilloso! Toda la familia está encantada con el producto.,positive,2023,10,Wednesday
63792,Books,2024-08-01,FR,4,Très content de mon achat. Le produit est encore mieux en VRAI.,positive,2024,8,Thursday
67823,Fashion,2024-09-07,DE,4,"Erstklassige Qualität, sehr zufrieden. Gerne wieder.",positive,2024,9,Saturday
30301,Electronics,2023-10-04,FR,5,Super produit! Exactly comme décrit. Livraison express. Bravo!,positive,2023,10,Wednesday
11467,Sports,2023-04-14,CA,5,Product arrived quickly and LOOKS exactly as described. Very happy.,positive,2023,4,Friday
